GRAND PRIX,DATE,WINNER,CAR,LAPS,TIME
Bahrain,28 Mar 2021,Lewis Hamilton,MERCEDES,56,1:32:04
Emilia Romagna,18 Apr 2021,Max Verstappen,RED BULL RACING HONDA,63,2:02:35
Portugal,02 May 2021,Lewis Hamilton,MERCEDES,66,1:34:31
Spain,09 May 2021,Lewis Hamilton,MERCEDES,66,1:33:08
Monaco,23 May 2021,Max Verstappen,RED BULL RACING HONDA,78,1:38:57
Azerbaijan,06 Jun 2021,Sergio Perez,RED BULL RACING HONDA,51,2:13:36
France,20 Jun 2021,Max Verstappen,RED BULL RACING HONDA,53,1:27:26
Styria,27 Jun 2021,Max Verstappen,RED BULL RACING HONDA,71,1:22:19
Austria,04 Jul 2021,Max Verstappen,RED BULL RACING HONDA,71,1:23:55
Great Britain,18 Jul 2021,Lewis Hamilton,MERCEDES,52,1:58:23
Hungary,01 Aug 2021,Esteban Ocon,ALPINE RENAULT,70,2:04:43
Belgium,29 Aug 2021,Max Verstappen,RED BULL RACING HONDA,1,0:03:27
Netherlands,05 Sep 2021,Max Verstappen,RED BULL RACING HONDA,72,1:30:05
Italy,12 Sep 2021,Daniel Ricciardo,MCLAREN MERCEDES,53,1:21:54
Russia,26 Sep 2021,Lewis Hamilton,MERCEDES,53,1:30:41
Turkey,10 Oct 2021,Valtteri Bottas,MERCEDES,58,1:31:04
United States,24 Oct 2021,Max Verstappen,RED BULL RACING HONDA,56,1:34:37
Mexico,07 Nov 2021,Max Verstappen,RED BULL RACING HONDA,71,1:38:39
Brazil,14 Nov 2021,Lewis Hamilton,MERCEDES,71,1:32:23
Qatar,21 Nov 2021,Lewis Hamilton,MERCEDES,57,1:24:28
Saudi Arabia,05 Dec 2021,Lewis Hamilton,MERCEDES,50,2:06:15
Abu Dhabi,12 Dec 2021,Max Verstappen,RED BULL RACING HONDA,58,1:30:17
